1748219659596,0,0,0,0,0,0,0,0,0,0,0
1748219659696,0,0,0,0,0,0,0,0,0,0,0
1748219659796,0,0,0,0,0,0,0,0,0,0,0
1748219659896,0,0,0,0,0,0,0,0,0,0,0
1748219659996,0,0,0,0,0,0,0,0,0,0,0
1748219660096,0,0,0,0,0,0,0,0,0,0,0
1748219660196,0,0,0,0,0,0,0,0,0,0,0
1748219660296,0,0,0,0,0,0,0,0,0,0,0
1748219660396,0,0,0,0,0,0,0,0,0,0,0
1748219660496,0,0,0,0,0,0,0,0,0,0,0
1748219660596,0,0,0,0,0,0,0,0,0,0,0
1748219660696,-3750000,950878,1107033,1052047,0,0,0,0,0,0,0
1748219660796,-5625000,1422652,1669713,1596401,0,0,0,0,0,0,0
1748219660896,-7500000,1905423,2140751,2195741,0,0,0,0,0,0,0
1748219660996,-9375000,2410188,2666774,2831737,0,0,0,0,0,0,0
1748219661096,-11250000,2933282,3284441,3431077,0,0,0,0,0,0,0
1748219661196,-13125000,3493032,3920437,4103729,0,0,0,0,0,0,0
1748219661296,-15000000,4078442,4574759,4813038,0,0,0,0,0,0,0
1748219661396,-16875000,4682181,5229082,5540677,0,0,0,0,0,0,0
1748219661496,-18750000,5304248,5901734,6304972,0,0,0,0,0,0,0
1748219661596,-18750000,5476536,6103349,6524913,0,0,0,0,0,0,0
1748219661696,-18750000,5637827,6286634,6744854,0,0,0,0,0,0,0
1748219661796,-18750000,5810114,6451593,6891479,0,0,0,0,0,0,0
1748219661896,-18750000,5971403,6708194,7019778,0,0,0,0,0,0,0
1748219661996,-18750000,6103368,6928136,7074761,0,0,0,0,0,0,0
1748219662096,-18750000,6220670,6946466,7203059,0,0,0,0,0,0,0
1748219662196,-18750000,6293984,7038108,7258045,0,0,0,0,0,0,0
1748219662296,-18750000,6348970,7111424,7239715,0,0,0,0,0,0,0
1748219662396,-18750000,6385627,7184740,7221385,0,0,0,0,0,0,0
1748219662496,-18750000,6403955,7239727,7148069,0,0,0,0,0,0,0
1748219662596,-18750000,6392958,7166410,7111413,0,0,0,0,0,0,0
1748219662696,-18750000,6389293,7148080,7056427,0,0,0,0,0,0,0
1748219662796,-18750000,6381961,7129750,7056427,0,0,0,0,0,0,0
1748219662896,-18750000,6359968,7129750,7038097,0,0,0,0,0,0,0
1748219662996,-18750000,6341639,7019782,7074757,0,0,0,0,0,0,0
1748219663096,-18750000,6326976,7093094,7038097,0,0,0,0,0,0,0
1748219663196,-18750000,6308647,7056434,7019767,0,0,0,0,0,0,0
1748219663296,-18750000,6286653,7038104,7019767,0,0,0,0,0,0,0
1748219663396,-18750000,6268324,7019774,7001437,0,0,0,0,0,0,0
1748219663496,-18750000,6246330,7019774,6983110,0,0,0,0,0,0,0
1748219663596,-18750000,6231667,7056430,6983110,0,0,0,0,0,0,0
1748219663696,-18750000,6224335,6946462,7019770,0,0,0,0,0,0,0
1748219663796,-18750000,6198676,6873149,7038100,0,0,0,0,0,0,0
1748219663896,-18750000,6184013,6854819,7001444,0,0,0,0,0,0,0
1748219663998,-18750000,6180347,6928132,6946458,0,0,0,0,0,0,0
1748219664098,-18750000,6173016,6891475,6946458,0,0,0,0,0,0,0
1748219664198,-18750000,6165684,6909805,6928128,0,0,0,0,0,0,0
1748219664298,-18750000,6158353,6909805,6909802,0,0,0,0,0,0,0
1748219664398,-18750000,6151022,6854819,6909802,0,0,0,0,0,0,0
1748219664499,-18750000,6151022,6836489,6909802,0,0,0,0,0,0,0
1748219664599,-18750000,6140024,6836489,6873146,0,0,0,0,0,0,0
1748219664699,-18750000,6129028,6836489,6836486,0,0,0,0,0,0,0
1748219664799,-18750000,6118031,6799833,6818156,0,0,0,0,0,0,0
1748219664899,-18750000,6121697,6744847,6836482,0,0,0,0,0,0,0
1748219664999,-18750000,6114365,6634878,6818152,0,0,0,0,0,0,0
1748219665099,-18750000,6096036,6671534,6799826,0,0,0,0,0,0,0
1748219665199,-18750000,6077708,6653204,6781499,0,0,0,0,0,0,0
1748219665299,-18750000,6055713,6616548,6744843,0,0,0,0,0,0,0
1748219665399,-18750000,6022721,6634878,6671531,0,0,0,0,0,0,0
1748219665499,-18750000,5956739,6561566,6616544,0,0,0,0,0,0,0
1748219665599,-18750000,5898089,6488253,6524902,0,0,0,0,0,0,0
1748219665699,-18750000,5817443,6378281,6414933,0,0,0,0,0,0,0
1748219665799,-18750000,5729467,6341621,6286634,0,0,0,0,0,0,0
1748219665899,-18750000,5608499,6249978,6140009,0,0,0,0,0,0,0
1748219665999,-18750000,5483866,6176662,6030041,0,0,0,0,0,0,0
1748219666099,-18750000,5348236,6030033,5883412,0,0,0,0,0,0,0
1748219666199,-18750000,5212606,5865078,5736783,0,0,0,0,0,0,0
1748219666299,-18750000,5076976,5663463,5590154,0,0,0,0,0,0,0
1748219666399,-18750000,4926683,5461848,5461856,0,0,0,0,0,0,0
1748219666499,-18750000,4783721,5315219,5296901,0,0,0,0,0,0,0
1748219666599,-18750000,4633428,5186921,5168602,0,0,0,0,0,0,0
1748219666699,-18750000,4475804,5058622,4985317,0,0,0,0,0,0,0
