1748047130513,0,0,0,0,0,0,0,0,0,0
1748047130613,0,0,0,0,0,0,0,0,0,0
1748047130713,0,0,0,0,0,0,0,0,0,0
1748047130813,0,0,0,0,0,0,0,0,0,0
1748047130913,0,0,0,0,0,0,0,0,0,0
1748047131013,0,0,0,0,0,0,0,0,0,0
1748047131113,0,0,0,0,0,0,0,0,0,0
1748047131213,0,0,0,0,0,0,0,0,0,0
1748047131313,0,0,0,0,0,0,0,0,0,0
1748047131413,0,0,0,0,0,0,0,0,0,0
1748047131513,0,0,0,0,0,0,0,0,0,0
1748047131613,-1875000,52419,12828,-60487,0,0,0,0,0,0
1748047131713,-3750000,123167,-10998,-29332,0,0,0,0,0,0
1748047131813,-3750000,123167,-10998,-29332,0,0,0,0,0,0
1748047131913,-5625000,157259,1829,-53160,0,0,0,0,0,0
1748047132013,-5625000,157259,1829,-53160,0,0,0,0,0,0
1748047132113,-7500000,157259,-150296,-58661,0,0,0,0,0,0
1748047132213,-7500000,206012,-150296,-58661,0,0,0,0,0,0
1748047132313,-7500000,206012,-150296,-58661,0,0,0,0,0,0
1748047132413,-9375000,276761,-119141,-45832,0,0,0,0,0,0
1748047132513,-9375000,276761,-119141,-45832,0,0,0,0,0,0
1748047132613,-11250000,351174,-51326,-69660,0,0,0,0,0,0
1748047132713,-11250000,351174,-51326,-69660,0,0,0,0,0,0
1748047132813,-13125000,410925,-75153,-75161,0,0,0,0,0,0
1748047132913,-13125000,410925,-75153,-75161,0,0,0,0,0,0
1748047133013,-15000000,448682,-62325,-98988,0,0,0,0,0,0
1748047133113,-15000000,448682,-62325,-98988,0,0,0,0,0,0
1748047133213,-16875000,526762,-31170,-86160,0,0,0,0,0,0
1748047133313,-16875000,526762,-31170,-86160,0,0,0,0,0,0
1748047133413,-18750000,586513,91627,-91661,0,0,0,0,0,0
1748047133513,-18750000,586513,91627,-91661,0,0,0,0,0,0
1748047133613,-18750000,586513,-15,-18,0,0,0,0,0,0
1748047133713,-18750000,586513,-15,-18,0,0,0,0,0,0
1748047133813,-18750000,586513,-15,-18,0,0,0,0,0,0
1748047133913,-18750000,597510,36641,-91661,0,0,0,0,0,0
